name,type,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
# 1 LOFT,Condo,,RCR - [D14],,1277,1/10/2022,879,1/8/2021, ,https://share.ecoprop.com/1-LOFT/R065963D,1293,1/9/2021,879,1/8/2021,1277,no sales,879,no sales,1277,1/10/2022,879,1/8/2021,1217,2018,0,no sales,1152,2019,0,no sales,1100,2020,0,no sales,1204,2021,855,2021,1234,2022,0,no sales,0,no sales,0,no sales
# 1 SUITES,Condo,,RCR - [D14],,1256,1/5/2023,0,no sales, ,https://share.ecoprop.com/1-SUITES/R065963D,1256,1/5/2023,0,no sales,1206,half year,0,no sales,1256,1/5/2023,0,no sales,1134,2018,0,no sales,0,no sales,0,no sales,1043,2020,0,no sales,1124,2021,0,no sales,1144,2022,0,no sales,1206,2023,0,no sales
1 KING ALBERT PARK,Condo,,RCR - [D21],,1602,1/12/2020,1819,1/6/2023, ,https://share.ecoprop.com/1-KING-ALBERT-PARK/R065963D,1602,1/12/2020,2056,1/11/2022,1602,no sales,1819,half year,1602,1/12/2020,1819,1/6/2023,0,no sales,0,no sales,0,no sales,1442,2019,1541,2020,1483,2020,0,no sales,1715,2021,0,no sales,1886,2022,0,no sales,1819,2023
1 MOULMEIN RISE,Condo,,CCR - [D11],,0,no sales,1923,1/4/2023, ,https://share.ecoprop.com/1-MOULMEIN-RISE/R065963D,0,no sales,2100,1/3/2023,0,no sales,2000,half year,0,no sales,1923,1/4/2023,0,no sales,0,no sales,0,no sales,1882,2019,0,no sales,1858,2020,0,no sales,1918,2021,0,no sales,1882,2022,0,no sales,2000,2023
10 EVELYN,Condo,,CCR - [D11],Nov-22,0,NaT,0,NaT, ,https://share.ecoprop.com/10-EVELYN/R065963D,3062,1/5/2023,2340,1/4/2022,2897,half year,2340,no sales,0,NaT,0,NaT,2478,2018,0,no sales,2657,2019,0,no sales,2807,2020,0,no sales,2510,2021,2270,2021,2615,2022,2340,2022,2862,2023,0,no sales
10 SHELFORD,Condo,,CCR - [D11],,1912,1/4/2023,0,no sales, ,https://share.ecoprop.com/10-SHELFORD/R065963D,1912,1/4/2023,0,no sales,1606,half year,0,no sales,1912,1/4/2023,0,no sales,1843,2018,0,no sales,1723,2019,0,no sales,1050,2020,0,no sales,1565,2021,0,no sales,1605,2022,0,no sales,1606,2023,0,no sales
11 AMBER ROAD,Condo,,RCR - [D15],,0,no sales,1812,1/7/2022, ,https://share.ecoprop.com/11-AMBER-ROAD/R065963D,0,no sales,1812,1/7/2022,0,no sales,1812,no sales,0,no sales,1812,1/7/2022,0,no sales,0,no sales,0,no sales,1404,2019,0,no sales,1323,2020,0,no sales,1498,2021,0,no sales,1812,2022,0,no sales,0,no sales
111 EMERALD HILL,Condo,,CCR - [D09],,0,no sales,2614,1/2/2023, ,https://share.ecoprop.com/111-EMERALD-HILL/R065963D,0,no sales,2614,1/2/2023,0,no sales,2344,half year,0,no sales,2614,1/2/2023,0,no sales,0,no sales,0,no sales,2166,2019,0,no sales,2336,2020,0,no sales,2066,2021,0,no sales,2300,2022,0,no sales,2344,2023
120 GRANGE,Condo,,CCR - [D10],Oct-22,0,NaT,0,no sales, ,https://share.ecoprop.com/120-GRANGE/R065963D,2815,1/11/2020,0,no sales,2815,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2766,2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
15 HOLLAND HILL,Condo,,CCR - [D10],2Q-3Q 2023,0,no sales,0,NaT, ,https://share.ecoprop.com/15-HOLLAND-HILL/R065963D,0,no sales,3496,1/9/2021,0,no sales,2986,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2864,2020,0,no sales,3035,2021,0,no sales,3066,2022,0,no sales,2986,2023
